Pressure,Power,Frequency,Floating Potential,Plasma Potential,Ion Current,Temperature,Density
3.8,100,13.56,11.99999619,16.597478565305735,1.2144341259319869e-05,0.8868960726450144,2712302632200556.5
8.2,100,13.56,11.99981308,13.394234449071257,2.397253753664428e-05,0.2689965365575416,9721677543891340.0
17.6,100,13.56,11.0017643,15.046689532581865,2.4068052107035972e-05,0.7803027853219364,5730729549681016.0
31.5,100,13.56,7.998829365,12.721341398890626,2.095628094889184e-05,0.9110154284382407,4617978375736159.0
66.6,100,13.56,6.999323845,10.074727194758925,1.7637563051683613e-05,0.5932732156518873,4816280332714221.0
3.8,500,13.56,12.9977808,14.377303105252025,2.7720630740624303e-05,0.26612237193684823,1.1302199364304814e+16
8.2,500,13.56,11.00086594,13.762508932962316,6.097765124025588e-05,0.5327459954303839,1.757159334306784e+16
17.6,500,13.56,11.99914837,18.955973333587508,6.425374008258495e-05,1.3420346691104492,1.166586894799814e+16
31.5,500,13.56,9.998933792,13.885731086380366,7.176253661498249e-05,0.7497984710216475,1.7431150597447234e+16
66.6,500,13.56,8.000421524,9.630028115549296,7.934323241029647e-05,0.31436590029459,2.9764097778170216e+16
3.8,1000,13.56,10.99906254,16.933211105265364,5.500349483833645e-05,1.1447511110199535,1.0812728460858388e+16
8.2,1000,13.56,8.99855423,15.1835735136857,9.044455480019908e-05,1.193146349271157,1.7415506744160052e+16
17.6,1000,13.56,7.998399258,14.458941155024203,0.00010207020607027642,1.246297161769608,1.9230418577068904e+16
31.5,1000,13.56,6.998635769,9.004612565088404,8.488929988440943e-05,0.38697112833402086,2.8702136050110124e+16
66.6,1000,13.56,6.000644684,9.776074234263195,0.00011098656091721694,0.7283146225119979,2.7353407055587704e+16
